국가,산림면적비율,기대수명
대한민국,64.8,83.3
아프가니스탄,1.9,63.0
아르메니아,11.6,74.9
아제르바이잔,13.3,72.2
바레인,0.8,79.7
방글라데시,14.5,71.8
부탄,71.3,70.8
브루나이,72.1,74.7
캄보디아,48.4,70.5
중국,22.7,77.2
키프로스,18.7,81.3
조지아,40.6,73.6
인도,24.0,70.5
인도네시아,50.0,69.9
이란,6.6,76.0
이라크,1.9,70.4
이스라엘,6.5,82.7
일본,68.4,84.2
요르단,1.1,75.5
카자흐스탄,1.2,71.4
북한,50.6,73.0
쿠웨이트,0.4,79.8
키르기스스탄,6.6,70.6
라오스,72.4,67.4
레바논,13.8,79.7
말레이시아,58.6,75.5
몰디브,2.7,79.9
몽골,9.1,70.2
미얀마,45.1,65.8
네팔,41.6,68.9
파키스탄,5.0,66.3
필리핀,23.8,71.5
사우디아라비아,0.5,77.2
싱가포르,22.6,83.2
스리랑카,34.3,75.4
시리아,2.8,68.5
타지키스탄,3.0,69.9
태국,39.1,78.4
튀르키예,28.3,77.1
투르크메니스탄,8.8,68.9
아랍에미리트,4.5,79.5
우즈베키스탄,8.2,71.0
베트남,46.0,74.0
버뮤다,18.5,82.4
캐나다,38.7,82.0
그린란드,0.0,72.6
멕시코,34.0,74.1
미국,33.9,78.8
앤티가바부다,18.9,78.3
아르헨티나,10.6,76.8
아루바,2.3,75.9
바하마,50.9,73.6
바베이도스,14.7,76.9
벨리즈,57.5,73.6
볼리비아,47.5,67.7
브라질,59.8,74.8
영국령버진아일랜드,24.1,74.8
케이맨제도,53.0,74.9
칠레,24.0,80.4
콜롬비아,53.8,76.6
코스타리카,58.5,79.4
쿠바,31.2,77.5
도미니카연방,63.8,67.5
도미니카공화국,43.9,73.1
에콰도르,51.1,77.0
엘살바도르,28.8,72.3
그레나다,52.1,74.8
과테말라,33.2,72.6
가이아나,93.7,68.7
아이티,12.9,63.9
온두라스,57.4,72.7
자메이카,54.0,71.9
니카라과,30.8,73.6
파나마,57.3,77.8
파라과이,42.6,73.6
페루,56.9,75.9
푸에르토리코,55.8,79.3
세인트키츠네비스,42.3,71.8
세인트루시아,34.0,73.1
세인트빈센트그레나딘,73.2,74.3
수리남,97.6,72.4
트리니다드토바고,44.7,74.2
터크스케이커스제도,11.1,76.7
미국령버진아일랜드,55.6,74.8
우루과이,11.2,77.6
베네수엘라,52.6,71.9
알바니아,28.8,79.0
안도라,34.0,83.0
오스트리아,47.1,81.6
벨라루스,43.0,74.5
벨기에,22.8,81.4
불가리아,35.5,74.8
크로아티아,34.5,78.1
체코,34.6,79.0
덴마크,15.6,81.1
에스토니아,57.0,78.0
페로제도,0.1,78.0
핀란드,73.7,81.5
프랑스,31.1,82.5
독일,32.7,80.9
지브롤터,0.0,81.8
그리스,30.3,80.9
헝가리,22.5,76.0
아이슬란드,0.5,82.5
아일랜드,11.2,81.9
맨섬,6.1,80.5
이탈리아,31.8,82.7
라트비아,54.6,74.8
리히텐슈타인,41.9,83.9
리투아니아,35.1,75.4
룩셈부르크,34.5,81.7
북마케도니아,39.7,76.5
몰타,1.3,83.6
몰도바,11.8,70.5
네덜란드,10.9,81.7
노르웨이,33.3,82.6
폴란드,30.9,77.7
포르투갈,36.2,81.5
루마니아,30.1,76.0
러시아,49.8,73.4
산마리노,16.7,82.9
슬로바키아,40.1,77.2
슬로베니아,61.8,81.1
스페인,37.2,83.0
스웨덴,68.7,82.4
스위스,31.9,83.4
우크라이나,16.7,74.7
영국,13.1,81.2
몬테네그로,61.5,76.9
세르비아,31.1,76.2
알제리,0.8,75.7
앙골라,54.8,61.7
베냉,29.1,59.9
보츠와나,27.5,66.8
부르키나파소,23.3,59.5
부룬디,10.9,61.6
카메룬,43.4,60.8
카보베르데,11.1,76.6
중앙아프리카공화국,35.9,53.7
차드,3.7,52.3
코모로,18.4,63.6
콩고,64.4,63.8
콩고민주공화국,57.1,59.4
코트디부아르,10.0,58.5
지부티,0.2,62.8
이집트,0.0,71.3
적도기니,88.2,60.8
에리트레아,8.8,66.6
에티오피아,15.3,64.8
가봉,91.5,66.2
감비아,25.7,63.0
가나,35.0,64.0
기니,25.7,59.1
기니비사우,71.3,60.1
케냐,6.3,62.5
레소토,1.1,53.1
라이베리아,80.0,60.6
리비아,0.1,72.5
마다가스카르,21.4,65.1
말라위,25.1,63.0
말리,10.9,59.1
모리타니,0.3,65.1
모리셔스,19.0,74.9
모로코,12.8,73.7
모잠비크,47.6,59.8
나미비아,8.3,62.3
니제르,0.9,62.2
나이지리아,24.3,52.3
르완다,11.1,65.9
상투메프린시페,56.0,68.3
세네갈,42.5,67.8
세이셸,73.3,73.8
시에라리온,35.9,58.7
소말리아,9.9,55.7
남아프리카공화국,14.1,65.4
남수단,11.3,55.3
수단,10.1,65.4
에스와티니,28.7,57.9
탄자니아,53.2,66.0
토고,22.4,60.2
튀니지,4.5,75.8
우간다,12.3,62.1
잠비아,61.0,62.1
짐바브웨,45.5,60.7
미국령사모아,86.1,72.5
오스트레일리아,17.4,83.0
피지,61.3,67.8
프랑스령폴리네시아,43.1,82.6
괌,51.9,77.2
키리바시,1.5,66.6
마셜제도,52.2,64.3
미크로네시아,91.9,71.5
나우루,0.0,63.0
뉴칼레도니아,45.9,79.5
뉴질랜드,37.4,82.2
북마리아나제도,53.0,76.8
팔라우,89.5,64.1
파푸아뉴기니,79.4,65.1
사모아,58.7,72.6
솔로몬제도,90.2,70.0
통가,12.4,70.7
투발루,33.3,64.1
바누아투,36.3,69.7
